STATENAME,MONTHNAME,HOUR,LGT_CONDNAME,,FATALS
Alabama,September,11,Daylight,,1
Alabama,September,19,Dark - Not Lighted,,1
Alabama,September,11,Daylight,,1
Alabama,September,23,Dark - Not Lighted,,2
Alabama,September,3,Dark - Not Lighted,,1
Alabama,September,9,Daylight,,1
Alabama,September,21,Dark - Not Lighted,,1
Alabama,September,22,Dark - Lighted,,2
Alabama,September,7,Daylight,,1
Alabama,September,16,Daylight,,1
Alabama,September,5,Dark - Not Lighted,,2
Alabama,September,11,Daylight,,1
Alabama,September,0,Dark - Not Lighted,,1
Alabama,September,11,Daylight,,1
Alabama,September,17,Daylight,,1
Alabama,September,10,Daylight,,1
Alabama,September,12,Daylight,,1
Alabama,September,17,Daylight,,1
Alabama,September,12,Daylight,,1
Alabama,September,17,Daylight,,1
Alabama,September,20,Dark - Not Lighted,,1
Alabama,September,10,Daylight,,1
Alabama,September,6,Daylight,,1
Alabama,September,19,Dark - Not Lighted,,1
Alabama,September,20,Dark - Not Lighted,,1
Alabama,September,18,Dusk,,1
Alabama,September,13,Daylight,,1
Alabama,September,12,Daylight,,1
Alabama,September,21,Dark - Not Lighted,,1
Alabama,September,15,Daylight,,1
Alabama,September,16,Daylight,,1
Alabama,September,21,Dark - Not Lighted,,1
Alabama,September,3,Dark - Not Lighted,,3
Alabama,October,10,Daylight,,1
Alabama,October,21,Dark - Not Lighted,,1
Alabama,October,12,Daylight,,1
Alabama,October,1,Dark - Not Lighted,,1
Alabama,October,1,Dark - Not Lighted,,1
Alabama,October,18,Dusk,,1
Alabama,October,20,Dark - Not Lighted,,1
Alabama,October,13,Daylight,,1
Alabama,October,14,Daylight,,1
Alabama,October,12,Daylight,,1
Alabama,October,7,Daylight,,2
Alabama,October,2,Dark - Not Lighted,,1
Alabama,October,8,Daylight,,2
Alabama,October,18,Dark - Not Lighted,,1
Alabama,October,6,Dawn,,1
Alabama,October,10,Daylight,,1
Alabama,October,20,Dark - Not Lighted,,1
Alabama,October,21,Dark - Not Lighted,,1
Alabama,October,10,Daylight,,1
Alabama,October,15,Daylight,,1
Alabama,October,14,Daylight,,1
Alabama,October,11,Daylight,,1
Alabama,October,20,Dark - Not Lighted,,2
Alabama,October,21,Dark - Lighted,,1
Alabama,October,8,Daylight,,1
Alabama,October,11,Daylight,,1
Alabama,October,7,Dark - Not Lighted,,1
Alabama,October,23,Dark - Not Lighted,,1
Alabama,October,4,Dark - Not Lighted,,1
Alabama,October,10,Daylight,,1
Alabama,October,6,Dark - Not Lighted,,1
Alabama,October,18,Dark - Not Lighted,,1
Alabama,October,19,Dark - Not Lighted,,1
Alabama,October,19,Daylight,,1
Alabama,October,13,Daylight,,1
Alabama,October,12,Daylight,,1
Alabama,October,2,Dark - Not Lighted,,1
Alabama,October,17,Daylight,,1
Alabama,October,12,Daylight,,1
Alabama,September,15,Daylight,,1
Alabama,September,15,Daylight,,1
Alabama,September,12,Daylight,,1
Alabama,July,17,Daylight,,1
Alabama,October,7,Daylight,,1
Alabama,October,22,Dark - Lighted,,1
Alabama,October,3,Dark - Not Lighted,,4
Alabama,October,19,Dark - Not Lighted,,1
Alabama,October,3,Dark - Lighted,,1
Alabama,October,15,Daylight,,1
Alabama,October,5,Dawn,,1
Alabama,October,12,Daylight,,1
Alabama,October,11,Daylight,,1
Alabama,October,14,Daylight,,1
Alabama,October,0,Dark - Lighted,,2
Alabama,October,12,Daylight,,1
Alabama,October,21,Dark - Lighted,,1
Alabama,October,20,Dark - Not Lighted,,1
Alabama,October,10,Daylight,,1
Alabama,October,14,Daylight,,1
Alabama,October,3,Dark - Not Lighted,,1
Alabama,October,3,Dark - Not Lighted,,1
Alabama,October,7,Daylight,,1
Alabama,October,16,Daylight,,1
Alabama,October,22,Dark - Not Lighted,,1
Alabama,October,22,Dark - Not Lighted,,1
Alabama,October,23,Dark - Lighted,,1
Alabama,October,16,Dark - Lighted,,1
Alabama,October,5,Dark - Not Lighted,,1
